code,as_of,nav
561010,2026-03-25,1.598
561010,2026-03-26,1.594
561010,2026-03-27,1.6
561010,2026-03-30,1.614
561010,2026-03-31,1.631
561010,2026-04-01,1.645
561010,2026-04-02,1.649
561010,2026-04-03,1.643
561010,2026-04-06,1.629
561010,2026-04-07,1.615
561010,2026-04-08,1.607
561010,2026-04-09,1.61
561010,2026-04-10,1.621
561010,2026-04-13,1.636
561010,2026-04-14,1.648
561010,2026-04-15,1.651
561010,2026-04-16,1.645
561010,2026-04-17,1.633
561010,2026-04-20,1.621
561010,2026-04-21,1.616
561010,2026-04-22,1.622
561010,2026-04-23,1.638
561010,2026-04-24,1.657
561010,2026-04-27,1.673
561010,2026-04-28,1.681
561010,2026-04-29,1.678
561010,2026-04-30,1.668
561010,2026-05-01,1.658
561010,2026-05-04,1.655
561010,2026-05-05,1.662
561010,2026-05-06,1.677
561010,2026-05-07,1.695
561010,2026-05-08,1.709
561010,2026-05-11,1.712
561010,2026-05-12,1.715
561010,2026-05-13,1.71
561010,2026-05-14,1.705
561010,2026-05-15,1.707
561010,2026-05-18,1.719
561010,2026-05-19,1.741
561010,2026-05-20,1.766
561010,2026-05-21,1.787
561010,2026-05-22,1.799
561010,2026-05-25,1.801
561010,2026-05-26,1.798
561010,2026-05-27,1.795
561010,2026-05-28,1.8
561010,2026-05-29,1.817
561010,2026-06-01,1.843
561010,2026-06-02,1.873
561010,2026-06-03,1.898
561010,2026-06-04,1.915
561010,2026-06-05,1.921
515880,2025-08-04,0.952
515880,2025-08-05,0.961
515880,2025-08-06,0.966
515880,2025-08-07,0.967
515880,2025-08-08,0.963
515880,2025-08-11,0.958
515880,2025-08-12,0.955
515880,2025-08-13,0.955
515880,2025-08-14,0.959
515880,2025-08-15,0.966
515880,2025-08-18,0.972
515880,2025-08-19,0.976
515880,2025-08-20,0.974
515880,2025-08-21,0.969
515880,2025-08-22,0.962
515880,2025-08-25,0.957
515880,2025-08-26,0.956
515880,2025-08-27,0.96
515880,2025-08-28,0.967
515880,2025-08-29,0.973
515880,2025-09-01,0.977
515880,2025-09-02,0.977
515880,2025-09-03,0.973
515880,2025-09-04,0.967
515880,2025-09-05,0.964
515880,2025-09-08,0.965
515880,2025-09-09,0.971
515880,2025-09-10,0.979
515880,2025-09-11,0.988
515880,2025-09-12,0.993
515880,2025-09-15,0.993
515880,2025-09-16,0.99
515880,2025-09-17,0.985
515880,2025-09-18,0.981
515880,2025-09-19,0.982
515880,2025-09-22,0.986
515880,2025-09-23,0.993
515880,2025-09-24,1.0
515880,2025-09-25,1.003
515880,2025-09-26,1.002
515880,2025-09-29,0.996
515880,2025-09-30,0.989
515880,2025-10-01,0.984
515880,2025-10-02,0.983
515880,2025-10-03,0.987
515880,2025-10-06,0.994
515880,2025-10-07,1.001
515880,2025-10-08,1.004
515880,2025-10-09,1.003
515880,2025-10-10,0.999
515880,2025-10-13,0.993
515880,2025-10-14,0.99
515880,2025-10-15,0.992
515880,2025-10-16,0.998
515880,2025-10-17,1.006
515880,2025-10-20,1.015
515880,2025-10-21,1.02
515880,2025-10-22,1.02
515880,2025-10-23,1.016
515880,2025-10-24,1.011
515880,2025-10-27,1.008
515880,2025-10-28,1.008
515880,2025-10-29,1.014
515880,2025-10-30,1.021
515880,2025-10-31,1.028
515880,2025-11-03,1.031
515880,2025-11-04,1.029
515880,2025-11-05,1.023
515880,2025-11-06,1.016
515880,2025-11-07,1.011
515880,2025-11-10,1.01
515880,2025-11-11,1.015
515880,2025-11-12,1.022
515880,2025-11-13,1.028
515880,2025-11-14,1.031
515880,2025-11-17,1.03
515880,2025-11-18,1.025
515880,2025-11-19,1.019
515880,2025-11-20,1.016
515880,2025-11-21,1.018
515880,2025-11-24,1.024
515880,2025-11-25,1.033
515880,2025-11-26,1.042
515880,2025-11-27,1.047
515880,2025-11-28,1.046
515880,2025-12-01,1.042
515880,2025-12-02,1.037
515880,2025-12-03,1.034
515880,2025-12-04,1.035
515880,2025-12-05,1.041
515880,2025-12-08,1.049
515880,2025-12-09,1.056
515880,2025-12-10,1.058
515880,2025-12-11,1.056
515880,2025-12-12,1.05
515880,2025-12-15,1.042
515880,2025-12-16,1.038
515880,2025-12-17,1.037
515880,2025-12-18,1.042
515880,2025-12-19,1.049
515880,2025-12-22,1.056
515880,2025-12-23,1.058
515880,2025-12-24,1.057
515880,2025-12-25,1.051
515880,2025-12-26,1.045
515880,2025-12-29,1.042
515880,2025-12-30,1.044
515880,2025-12-31,1.051
515880,2026-01-01,1.06
515880,2026-01-02,1.069
515880,2026-01-05,1.073
515880,2026-01-06,1.073
515880,2026-01-07,1.068
515880,2026-01-08,1.063
515880,2026-01-09,1.06
515880,2026-01-12,1.062
515880,2026-01-13,1.068
515880,2026-01-14,1.076
515880,2026-01-15,1.083
515880,2026-01-16,1.086
515880,2026-01-19,1.083
515880,2026-01-20,1.076
515880,2026-01-21,1.069
515880,2026-01-22,1.064
515880,2026-01-23,1.065
515880,2026-01-26,1.069
515880,2026-01-27,1.077
515880,2026-01-28,1.083
515880,2026-01-29,1.086
515880,2026-01-30,1.083
515880,2026-02-02,1.077
515880,2026-02-03,1.071
515880,2026-02-04,1.069
515880,2026-02-05,1.071
515880,2026-02-06,1.078
515880,2026-02-09,1.088
515880,2026-02-10,1.096
515880,2026-02-11,1.1
515880,2026-02-12,1.099
515880,2026-02-13,1.095
515880,2026-02-16,1.089
515880,2026-02-17,1.087
515880,2026-02-18,1.089
515880,2026-02-19,1.096
515880,2026-02-20,1.104
515880,2026-02-23,1.111
515880,2026-02-24,1.113
515880,2026-02-25,1.11
515880,2026-02-26,1.103
515880,2026-02-27,1.096
515880,2026-03-02,1.091
515880,2026-03-03,1.092
515880,2026-03-04,1.097
515880,2026-03-05,1.105
515880,2026-03-06,1.111
515880,2026-03-09,1.113
515880,2026-03-10,1.11
515880,2026-03-11,1.104
515880,2026-03-12,1.097
515880,2026-03-13,1.095
515880,2026-03-16,1.097
515880,2026-03-17,1.105
515880,2026-03-18,1.115
515880,2026-03-19,1.123
515880,2026-03-20,1.127
515880,2026-03-23,1.126
515880,2026-03-24,1.121
515880,2026-03-25,1.115
515880,2026-03-26,1.113
515880,2026-03-27,1.116
515880,2026-03-30,1.123
515880,2026-03-31,1.132
515880,2026-04-01,1.139
515880,2026-04-02,1.141
515880,2026-04-03,1.137
515880,2026-04-06,1.13
515880,2026-04-07,1.122
515880,2026-04-08,1.118
515880,2026-04-09,1.119
515880,2026-04-10,1.125
515880,2026-04-13,1.132
515880,2026-04-14,1.138
515880,2026-04-15,1.14
515880,2026-04-16,1.137
515880,2026-04-17,1.13
515880,2026-04-20,1.124
515880,2026-04-21,1.121
515880,2026-04-22,1.124
515880,2026-04-23,1.132
515880,2026-04-24,1.142
515880,2026-04-27,1.15
515880,2026-04-28,1.154
515880,2026-04-29,1.152
515880,2026-04-30,1.147
515880,2026-05-01,1.141
515880,2026-05-04,1.139
515880,2026-05-05,1.143
515880,2026-05-06,1.15
515880,2026-05-07,1.159
515880,2026-05-08,1.166
515880,2026-05-11,1.168
515880,2026-05-12,1.164
515880,2026-05-13,1.157
515880,2026-05-14,1.149
515880,2026-05-15,1.145
515880,2026-05-18,1.146
515880,2026-05-19,1.152
515880,2026-05-20,1.16
515880,2026-05-21,1.166
515880,2026-05-22,1.167
515880,2026-05-25,1.163
515880,2026-05-26,1.156
515880,2026-05-27,1.15
515880,2026-05-28,1.147
515880,2026-05-29,1.15
515880,2026-06-01,1.159
515880,2026-06-02,1.169
515880,2026-06-03,1.177
515880,2026-06-04,1.18
515880,2026-06-05,1.178
588200,2025-08-04,0.83
588200,2025-08-05,0.84
588200,2025-08-06,0.847
588200,2025-08-07,0.848
588200,2025-08-08,0.843
588200,2025-08-11,0.837
588200,2025-08-12,0.833
588200,2025-08-13,0.833
588200,2025-08-14,0.838
588200,2025-08-15,0.846
588200,2025-08-18,0.854
588200,2025-08-19,0.858
588200,2025-08-20,0.857
588200,2025-08-21,0.85
588200,2025-08-22,0.842
588200,2025-08-25,0.836
588200,2025-08-26,0.834
588200,2025-08-27,0.839
588200,2025-08-28,0.847
588200,2025-08-29,0.855
588200,2025-09-01,0.86
588200,2025-09-02,0.859
588200,2025-09-03,0.854
588200,2025-09-04,0.848
588200,2025-09-05,0.844
588200,2025-09-08,0.845
588200,2025-09-09,0.852
588200,2025-09-10,0.863
588200,2025-09-11,0.873
588200,2025-09-12,0.879
588200,2025-09-15,0.88
588200,2025-09-16,0.875
588200,2025-09-17,0.869
588200,2025-09-18,0.865
588200,2025-09-19,0.865
588200,2025-09-22,0.871
588200,2025-09-23,0.88
588200,2025-09-24,0.888
588200,2025-09-25,0.892
588200,2025-09-26,0.89
588200,2025-09-29,0.883
588200,2025-09-30,0.874
588200,2025-10-01,0.868
588200,2025-10-02,0.867
588200,2025-10-03,0.872
588200,2025-10-06,0.88
588200,2025-10-07,0.888
588200,2025-10-08,0.893
588200,2025-10-09,0.892
588200,2025-10-10,0.886
588200,2025-10-13,0.879
588200,2025-10-14,0.875
588200,2025-10-15,0.877
588200,2025-10-16,0.884
588200,2025-10-17,0.895
588200,2025-10-20,0.906
588200,2025-10-21,0.912
588200,2025-10-22,0.912
588200,2025-10-23,0.907
588200,2025-10-24,0.901
588200,2025-10-27,0.896
588200,2025-10-28,0.897
588200,2025-10-29,0.904
588200,2025-10-30,0.913
588200,2025-10-31,0.922
588200,2025-11-03,0.925
588200,2025-11-04,0.923
588200,2025-11-05,0.915
588200,2025-11-06,0.906
588200,2025-11-07,0.9
588200,2025-11-10,0.899
588200,2025-11-11,0.905
588200,2025-11-12,0.913
588200,2025-11-13,0.922
588200,2025-11-14,0.926
588200,2025-11-17,0.924
588200,2025-11-18,0.918
588200,2025-11-19,0.91
588200,2025-11-20,0.906
588200,2025-11-21,0.908
588200,2025-11-24,0.916
588200,2025-11-25,0.928
588200,2025-11-26,0.938
588200,2025-11-27,0.944
588200,2025-11-28,0.944
588200,2025-12-01,0.939
588200,2025-12-02,0.932
588200,2025-12-03,0.928
588200,2025-12-04,0.93
588200,2025-12-05,0.937
588200,2025-12-08,0.947
588200,2025-12-09,0.955
588200,2025-12-10,0.959
588200,2025-12-11,0.956
588200,2025-12-12,0.948
588200,2025-12-15,0.938
588200,2025-12-16,0.932
588200,2025-12-17,0.932
588200,2025-12-18,0.938
588200,2025-12-19,0.947
588200,2025-12-22,0.955
588200,2025-12-23,0.958
588200,2025-12-24,0.956
588200,2025-12-25,0.949
588200,2025-12-26,0.942
588200,2025-12-29,0.938
588200,2025-12-30,0.94
588200,2025-12-31,0.949
588200,2026-01-01,0.96
588200,2026-01-02,0.971
588200,2026-01-05,0.977
588200,2026-01-06,0.976
588200,2026-01-07,0.97
588200,2026-01-08,0.964
588200,2026-01-09,0.96
588200,2026-01-12,0.962
588200,2026-01-13,0.97
588200,2026-01-14,0.98
588200,2026-01-15,0.989
588200,2026-01-16,0.992
588200,2026-01-19,0.989
588200,2026-01-20,0.98
588200,2026-01-21,0.97
588200,2026-01-22,0.964
588200,2026-01-23,0.965
588200,2026-01-26,0.971
588200,2026-01-27,0.98
588200,2026-01-28,0.988
588200,2026-01-29,0.991
588200,2026-01-30,0.988
588200,2026-02-02,0.981
588200,2026-02-03,0.973
588200,2026-02-04,0.969
588200,2026-02-05,0.972
588200,2026-02-06,0.981
588200,2026-02-09,0.993
588200,2026-02-10,1.004
588200,2026-02-11,1.009
588200,2026-02-12,1.008
588200,2026-02-13,1.002
588200,2026-02-16,0.995
588200,2026-02-17,0.992
588200,2026-02-18,0.994
588200,2026-02-19,1.003
588200,2026-02-20,1.014
588200,2026-02-23,1.022
588200,2026-02-24,1.025
588200,2026-02-25,1.021
588200,2026-02-26,1.012
588200,2026-02-27,1.003
588200,2026-03-02,0.997
588200,2026-03-03,0.997
588200,2026-03-04,1.004
588200,2026-03-05,1.014
588200,2026-03-06,1.021
588200,2026-03-09,1.024
588200,2026-03-10,1.02
588200,2026-03-11,1.012
588200,2026-03-12,1.004
588200,2026-03-13,1.0
588200,2026-03-16,1.004
588200,2026-03-17,1.013
588200,2026-03-18,1.026
588200,2026-03-19,1.036
588200,2026-03-20,1.041
588200,2026-03-23,1.04
588200,2026-03-24,1.033
588200,2026-03-25,1.026
588200,2026-03-26,1.023
588200,2026-03-27,1.027
588200,2026-03-30,1.036
588200,2026-03-31,1.047
588200,2026-04-01,1.056
588200,2026-04-02,1.059
588200,2026-04-03,1.054
588200,2026-04-06,1.045
588200,2026-04-07,1.035
588200,2026-04-08,1.029
588200,2026-04-09,1.03
588200,2026-04-10,1.037
588200,2026-04-13,1.047
588200,2026-04-14,1.055
588200,2026-04-15,1.057
588200,2026-04-16,1.052
588200,2026-04-17,1.044
588200,2026-04-20,1.035
588200,2026-04-21,1.032
588200,2026-04-22,1.036
588200,2026-04-23,1.046
588200,2026-04-24,1.058
588200,2026-04-27,1.069
588200,2026-04-28,1.074
588200,2026-04-29,1.071
588200,2026-04-30,1.065
588200,2026-05-01,1.058
588200,2026-05-04,1.055
588200,2026-05-05,1.059
588200,2026-05-06,1.069
588200,2026-05-07,1.081
588200,2026-05-08,1.09
588200,2026-05-11,1.092
588200,2026-05-12,1.087
588200,2026-05-13,1.077
588200,2026-05-14,1.067
588200,2026-05-15,1.061
588200,2026-05-18,1.063
588200,2026-05-19,1.071
588200,2026-05-20,1.081
588200,2026-05-21,1.088
588200,2026-05-22,1.09
588200,2026-05-25,1.084
588200,2026-05-26,1.075
588200,2026-05-27,1.067
588200,2026-05-28,1.063
588200,2026-05-29,1.067
588200,2026-06-01,1.078
588200,2026-06-02,1.091
588200,2026-06-03,1.102
588200,2026-06-04,1.106
588200,2026-06-05,1.103
561160,2025-08-01,1.453
561160,2025-08-04,1.463
561160,2025-08-05,1.468
561160,2025-08-06,1.465
561160,2025-08-07,1.456
561160,2025-08-08,1.444
561160,2025-08-11,1.434
561160,2025-08-12,1.43
561160,2025-08-13,1.433
561160,2025-08-14,1.441
561160,2025-08-15,1.447
561160,2025-08-18,1.449
561160,2025-08-19,1.443
561160,2025-08-20,1.431
561160,2025-08-21,1.416
561160,2025-08-22,1.404
561160,2025-08-25,1.399
561160,2025-08-26,1.401
561160,2025-08-27,1.408
561160,2025-08-28,1.415
561160,2025-08-29,1.417
561160,2025-09-01,1.413
561160,2025-09-02,1.402
561160,2025-09-03,1.39
561160,2025-09-04,1.382
561160,2025-09-05,1.379
561160,2025-09-08,1.385
561160,2025-09-09,1.394
561160,2025-09-10,1.404
561160,2025-09-11,1.408
561160,2025-09-12,1.405
561160,2025-09-15,1.395
561160,2025-09-16,1.384
561160,2025-09-17,1.375
561160,2025-09-18,1.372
561160,2025-09-19,1.375
561160,2025-09-22,1.382
561160,2025-09-23,1.389
561160,2025-09-24,1.39
561160,2025-09-25,1.384
561160,2025-09-26,1.371
561160,2025-09-29,1.357
561160,2025-09-30,1.346
561160,2025-10-01,1.341
561160,2025-10-02,1.343
561160,2025-10-03,1.35
561160,2025-10-06,1.356
561160,2025-10-07,1.358
561160,2025-10-08,1.353
561160,2025-10-09,1.343
561160,2025-10-10,1.331
561160,2025-10-13,1.323
561160,2025-10-14,1.321
561160,2025-10-15,1.326
561160,2025-10-16,1.336
561160,2025-10-17,1.344
561160,2025-10-20,1.348
561160,2025-10-21,1.344
561160,2025-10-22,1.335
561160,2025-10-23,1.324
561160,2025-10-24,1.316
561160,2025-10-27,1.313
561160,2025-10-28,1.317
561160,2025-10-29,1.324
561160,2025-10-30,1.33
561160,2025-10-31,1.331
561160,2025-11-03,1.324
561160,2025-11-04,1.312
561160,2025-11-05,1.298
561160,2025-11-06,1.288
561160,2025-11-07,1.284
561160,2025-11-10,1.286
561160,2025-11-11,1.292
561160,2025-11-12,1.298
561160,2025-11-13,1.299
561160,2025-11-14,1.293
561160,2025-11-17,1.283
561160,2025-11-18,1.272
561160,2025-11-19,1.264
561160,2025-11-20,1.263
561160,2025-11-21,1.268
561160,2025-11-24,1.277
561160,2025-11-25,1.285
561160,2025-11-26,1.288
561160,2025-11-27,1.284
561160,2025-11-28,1.275
561160,2025-12-01,1.264
561160,2025-12-02,1.256
561160,2025-12-03,1.255
561160,2025-12-04,1.259
561160,2025-12-05,1.266
561160,2025-12-08,1.271
561160,2025-12-09,1.271
561160,2025-12-10,1.265
561160,2025-12-11,1.253
561160,2025-12-12,1.24
561160,2025-12-15,1.23
561160,2025-12-16,1.226
561160,2025-12-17,1.229
561160,2025-12-18,1.235
561160,2025-12-19,1.24
561160,2025-12-22,1.24
561160,2025-12-23,1.234
561160,2025-12-24,1.224
561160,2025-12-25,1.213
561160,2025-12-26,1.205
561160,2025-12-29,1.204
561160,2025-12-30,1.21
561160,2025-12-31,1.218
561160,2026-01-01,1.225
561160,2026-01-02,1.227
561160,2026-01-05,1.223
561160,2026-01-06,1.214
561160,2026-01-07,1.204
561160,2026-01-08,1.197
561160,2026-01-09,1.196
561160,2026-01-12,1.2
561160,2026-01-13,1.207
561160,2026-01-14,1.212
561160,2026-01-15,1.212
561160,2026-01-16,1.205
561160,2026-01-19,1.193
561160,2026-01-20,1.181
561160,2026-01-21,1.172
561160,2026-01-22,1.169
561160,2026-01-23,1.171
561160,2026-01-26,1.177
561160,2026-01-27,1.181
561160,2026-01-28,1.181
561160,2026-01-29,1.174
561160,2026-01-30,1.164
561160,2026-02-02,1.154
561160,2026-02-03,1.147
561160,2026-02-04,1.146
561160,2026-02-05,1.151
561160,2026-02-06,1.159
561160,2026-02-09,1.166
561160,2026-02-10,1.167
561160,2026-02-11,1.163
561160,2026-02-12,1.154
561160,2026-02-13,1.145
561160,2026-02-16,1.138
561160,2026-02-17,1.138
561160,2026-02-18,1.142
561160,2026-02-19,1.148
561160,2026-02-20,1.153
561160,2026-02-23,1.152
561160,2026-02-24,1.145
561160,2026-02-25,1.134
561160,2026-02-26,1.122
561160,2026-02-27,1.114
561160,2026-03-02,1.111
561160,2026-03-03,1.114
561160,2026-03-04,1.119
561160,2026-03-05,1.122
561160,2026-03-06,1.121
561160,2026-03-09,1.115
561160,2026-03-10,1.105
561160,2026-03-11,1.095
561160,2026-03-12,1.088
561160,2026-03-13,1.088
561160,2026-03-16,1.093
561160,2026-03-17,1.1
561160,2026-03-18,1.106
561160,2026-03-19,1.107
561160,2026-03-20,1.103
561160,2026-03-23,1.094
561160,2026-03-24,1.085
561160,2026-03-25,1.079
561160,2026-03-26,1.079
561160,2026-03-27,1.083
561160,2026-03-30,1.089
561160,2026-03-31,1.093
561160,2026-04-01,1.092
561160,2026-04-02,1.085
561160,2026-04-03,1.075
561160,2026-04-06,1.064
561160,2026-04-07,1.056
561160,2026-04-08,1.054
561160,2026-04-09,1.056
561160,2026-04-10,1.061
561160,2026-04-13,1.064
561160,2026-04-14,1.062
561160,2026-04-15,1.056
561160,2026-04-16,1.046
561160,2026-04-17,1.036
561160,2026-04-20,1.03
561160,2026-04-21,1.03
561160,2026-04-22,1.035
561160,2026-04-23,1.042
561160,2026-04-24,1.047
561160,2026-04-27,1.047
561160,2026-04-28,1.042
561160,2026-04-29,1.034
561160,2026-04-30,1.026
561160,2026-05-01,1.02
561160,2026-05-04,1.021
561160,2026-05-05,1.025
561160,2026-05-06,1.031
561160,2026-05-07,1.034
561160,2026-05-08,1.033
561160,2026-05-11,1.026
561160,2026-05-12,1.015
561160,2026-05-13,1.005
561160,2026-05-14,0.998
561160,2026-05-15,0.996
561160,2026-05-18,0.999
561160,2026-05-19,1.003
561160,2026-05-20,1.005
561160,2026-05-21,1.003
561160,2026-05-22,0.996
561160,2026-05-25,0.987
561160,2026-05-26,0.977
561160,2026-05-27,0.972
561160,2026-05-28,0.972
561160,2026-05-29,0.977
561160,2026-06-01,0.983
561160,2026-06-02,0.987
561160,2026-06-03,0.987
561160,2026-06-04,0.982
562990,2026-03-12,1.000
562990,2026-03-13,1.010
562990,2026-03-16,1.020
562990,2026-03-17,1.030
562990,2026-03-18,1.040
562990,2026-03-19,1.050
562990,2026-03-20,1.060
562990,2026-03-23,1.070
562990,2026-03-24,1.080
562990,2026-03-25,1.090
562990,2026-03-26,1.100
562990,2026-03-27,1.110
562990,2026-03-30,1.120
562990,2026-03-31,1.130
562990,2026-04-01,1.140
562990,2026-04-02,1.150
562990,2026-04-03,1.160
562990,2026-04-06,1.170
562990,2026-04-07,1.180
562990,2026-04-08,1.190
562990,2026-04-09,1.200
562990,2026-04-10,1.210
562990,2026-04-13,1.220
562990,2026-04-14,1.230
562990,2026-04-15,1.240
562990,2026-04-16,1.250
562990,2026-04-17,1.260
562990,2026-04-20,1.270
562990,2026-04-21,1.280
562990,2026-04-22,1.290
562990,2026-04-23,1.300
562990,2026-04-24,1.310
562990,2026-04-27,1.320
562990,2026-04-28,1.330
562990,2026-04-29,1.340
562990,2026-04-30,1.350
562990,2026-05-01,1.360
562990,2026-05-04,1.370
562990,2026-05-05,1.380
562990,2026-05-06,1.390
562990,2026-05-07,1.400
562990,2026-05-08,1.410
562990,2026-05-11,1.420
562990,2026-05-12,1.430
562990,2026-05-13,1.440
562990,2026-05-14,1.450
562990,2026-05-15,1.460
562990,2026-05-18,1.470
562990,2026-05-19,1.480
562990,2026-05-20,1.490
562990,2026-05-21,1.500
562990,2026-05-22,1.510
562990,2026-05-25,1.520
562990,2026-05-26,1.530
562990,2026-05-27,1.540
562990,2026-05-28,1.550
562990,2026-05-29,1.560
562990,2026-06-01,1.570
562990,2026-06-02,1.580
562990,2026-06-03,1.590
562990,2026-06-04,1.600
